ID,Type,PieceMark,Section,Material,StartX,StartY,StartZ,EndX,EndY,EndZ,Leg_Start,Leg_End
00100286,beam,M286,L60x4,A36,-0.933229,-0.933229,14.775,-0.914722,0.914722,15.8,"{'ID': '00100271', 'Type': 'beam', 'PieceMark': 'M271', 'Section': 'L130x10', 'Material': 'A36', 'StartX': -0.951736, 'StartY': -0.951736, 'StartZ': 13.75, 'EndX': -0.914722, 'EndY': -0.914722, 'EndZ': 15.8}","{'ID': '00100258', 'Type': 'beam', 'PieceMark': 'M258', 'Section': 'L130x10', 'Material': 'A36', 'StartX': -0.914722, 'StartY': 0.914722, 'StartZ': 15.8, 'EndX': -0.875, 'EndY': 0.875, 'EndZ': 18.0}"
00100295,beam,M295,L60x4,A36,-0.983333,-0.983333,12.0,0.967535,-0.967535,12.875,"{'ID': '00100287', 'Type': 'beam', 'PieceMark': 'M287', 'Section': 'L130x10', 'Material': 'A36', 'StartX': -0.983333, 'StartY': -0.983333, 'StartZ': 12.0, 'EndX': -0.951736, 'EndY': -0.951736, 'EndZ': 13.75}","{'ID': '00100288', 'Type': 'beam', 'PieceMark': 'M288', 'Section': 'L130x10', 'Material': 'A36', 'StartX': 0.983333, 'StartY': -0.983333, 'StartZ': 12.0, 'EndX': 0.951736, 'EndY': -0.951736, 'EndZ': 13.75}"
00100296,beam,M296,L60x4,A36,0.983333,-0.983333,12.0,0.967535,0.967535,12.875,"{'ID': '00100288', 'Type': 'beam', 'PieceMark': 'M288', 'Section': 'L130x10', 'Material': 'A36', 'StartX': 0.983333, 'StartY': -0.983333, 'StartZ': 12.0, 'EndX': 0.951736, 'EndY': -0.951736, 'EndZ': 13.75}","{'ID': '00100289', 'Type': 'beam', 'PieceMark': 'M289', 'Section': 'L130x10', 'Material': 'A36', 'StartX': 0.983333, 'StartY': 0.983333, 'StartZ': 12.0, 'EndX': 0.951736, 'EndY': 0.951736, 'EndZ': 13.75}"
00100297,beam,M297,L60x4,A36,0.983333,0.983333,12.0,-0.967535,0.967535,12.875,"{'ID': '00100289', 'Type': 'beam', 'PieceMark': 'M289', 'Section': 'L130x10', 'Material': 'A36', 'StartX': 0.983333, 'StartY': 0.983333, 'StartZ': 12.0, 'EndX': 0.951736, 'EndY': 0.951736, 'EndZ': 13.75}","{'ID': '00100290', 'Type': 'beam', 'PieceMark': 'M290', 'Section': 'L130x10', 'Material': 'A36', 'StartX': -0.983333, 'StartY': 0.983333, 'StartZ': 12.0, 'EndX': -0.951736, 'EndY': 0.951736, 'EndZ': 13.75}"
00100298,beam,M298,L60x4,A36,-0.983333,0.983333,12.0,-0.967535,-0.967535,12.875,"{'ID': '00100290', 'Type': 'beam', 'PieceMark': 'M290', 'Section': 'L130x10', 'Material': 'A36', 'StartX': -0.983333, 'StartY': 0.983333, 'StartZ': 12.0, 'EndX': -0.951736, 'EndY': 0.951736, 'EndZ': 13.75}","{'ID': '00100287', 'Type': 'beam', 'PieceMark': 'M287', 'Section': 'L130x10', 'Material': 'A36', 'StartX': -0.983333, 'StartY': -0.983333, 'StartZ': 12.0, 'EndX': -0.951736, 'EndY': -0.951736, 'EndZ': 13.75}"
00100299,beam,M299,L60x4,A36,0.967535,-0.967535,12.875,-0.951736,-0.951736,13.75,"{'ID': '00100288', 'Type': 'beam', 'PieceMark': 'M288', 'Section': 'L130x10', 'Material': 'A36', 'StartX': 0.983333, 'StartY': -0.983333, 'StartZ': 12.0, 'EndX': 0.951736, 'EndY': -0.951736, 'EndZ': 13.75}","{'ID': '00100287', 'Type': 'beam', 'PieceMark': 'M287', 'Section': 'L130x10', 'Material': 'A36', 'StartX': -0.983333, 'StartY': -0.983333, 'StartZ': 12.0, 'EndX': -0.951736, 'EndY': -0.951736, 'EndZ': 13.75}"
00100300,beam,M300,L60x4,A36,0.967535,0.967535,12.875,0.951736,-0.951736,13.75,"{'ID': '00100289', 'Type': 'beam', 'PieceMark': 'M289', 'Section': 'L130x10', 'Material': 'A36', 'StartX': 0.983333, 'StartY': 0.983333, 'StartZ': 12.0, 'EndX': 0.951736, 'EndY': 0.951736, 'EndZ': 13.75}","{'ID': '00100288', 'Type': 'beam', 'PieceMark': 'M288', 'Section': 'L130x10', 'Material': 'A36', 'StartX': 0.983333, 'StartY': -0.983333, 'StartZ': 12.0, 'EndX': 0.951736, 'EndY': -0.951736, 'EndZ': 13.75}"
00100301,beam,M301,L60x4,A36,-0.967535,0.967535,12.875,0.951736,0.951736,13.75,"{'ID': '00100290', 'Type': 'beam', 'PieceMark': 'M290', 'Section': 'L130x10', 'Material': 'A36', 'StartX': -0.983333, 'StartY': 0.983333, 'StartZ': 12.0, 'EndX': -0.951736, 'EndY': 0.951736, 'EndZ': 13.75}","{'ID': '00100289', 'Type': 'beam', 'PieceMark': 'M289', 'Section': 'L130x10', 'Material': 'A36', 'StartX': 0.983333, 'StartY': 0.983333, 'StartZ': 12.0, 'EndX': 0.951736, 'EndY': 0.951736, 'EndZ': 13.75}"
00100302,beam,M302,L60x4,A36,-0.967535,-0.967535,12.875,-0.951736,0.951736,13.75,"{'ID': '00100287', 'Type': 'beam', 'PieceMark': 'M287', 'Section': 'L130x10', 'Material': 'A36', 'StartX': -0.983333, 'StartY': -0.983333, 'StartZ': 12.0, 'EndX': -0.951736, 'EndY': -0.951736, 'EndZ': 13.75}","{'ID': '00100274', 'Type': 'beam', 'PieceMark': 'M274', 'Section': 'L130x10', 'Material': 'A36', 'StartX': -0.951736, 'StartY': 0.951736, 'StartZ': 13.75, 'EndX': -0.914722, 'EndY': 0.914722, 'EndZ': 15.8}"
00100312,beam,M312,L40x4,A36,-1.02215,-1.02215,9.85,0.0,-1.00274,10.925,"{'ID': '00100331', 'Type': 'beam', 'PieceMark': 'M331', 'Section': 'L130x12', 'Material': 'A36', 'StartX': -1.05826, 'StartY': -1.05826, 'StartZ': 7.85, 'EndX': -1.02215, 'EndY': -1.02215, 'EndZ': 9.85}",
