ID,Type,PieceMark,Section,Material,StartX,StartY,StartZ,EndX,EndY,EndZ
00100001,beam,M1,L80x6,A36,-0.55,-0.55,45.85,-0.55,-0.55,48.0
00100002,beam,M2,L80x6,A36,0.55,-0.55,45.85,0.55,-0.55,48.0
00100003,beam,M3,L80x6,A36,0.55,0.55,45.85,0.55,0.55,48.0
00100004,beam,M4,L80x6,A36,-0.55,0.55,45.85,-0.55,0.55,48.0
00100005,beam,M5,L40x4,A36,-0.55,-0.55,48.0,0.55,0.55,48.0
00100006,beam,M6,L40x4,A36,0.55,-0.55,48.0,-0.55,0.55,48.0
00100007,beam,M7,L40x4,A36,-0.55,-0.55,48.0,0.55,-0.55,48.0
00100008,beam,M8,L40x4,A36,0.55,-0.55,48.0,0.55,0.55,48.0
00100009,beam,M9,L40x4,A36,0.55,0.55,48.0,-0.55,0.55,48.0
00100010,beam,M10,L40x4,A36,-0.55,0.55,48.0,-0.55,-0.55,48.0
00100011,beam,M11,L40x4,A36,-0.55,-0.55,45.85,0.55,-0.55,46.925
00100012,beam,M12,L40x4,A36,0.55,-0.55,45.85,0.55,0.55,46.925
00100013,beam,M13,L40x4,A36,0.55,0.55,45.85,-0.55,0.55,46.925
00100014,beam,M14,L40x4,A36,-0.55,0.55,45.85,-0.55,-0.55,46.925
00100015,beam,M15,L40x4,A36,0.55,-0.55,46.925,-0.55,-0.55,48.0
00100016,beam,M16,L40x4,A36,0.55,0.55,46.925,0.55,-0.55,48.0
00100017,beam,M17,L40x4,A36,-0.55,0.55,46.925,0.55,0.55,48.0
00100018,beam,M18,L40x4,A36,-0.55,-0.55,46.925,-0.55,0.55,48.0
00100019,beam,M19,L80x6,A36,-0.55,-0.55,43.7,-0.55,-0.55,45.85
00100020,beam,M20,L80x6,A36,0.55,-0.55,43.7,0.55,-0.55,45.85
00100021,beam,M21,L80x6,A36,0.55,0.55,43.7,0.55,0.55,45.85
00100022,beam,M22,L80x6,A36,-0.55,0.55,43.7,-0.55,0.55,45.85
00100023,beam,M23,L40x4,A36,-0.55,-0.55,45.85,0.55,-0.55,45.85
00100024,beam,M24,L40x4,A36,0.55,-0.55,45.85,0.55,0.55,45.85
00100025,beam,M25,L40x4,A36,0.55,0.55,45.85,-0.55,0.55,45.85
00100026,beam,M26,L40x4,A36,-0.55,0.55,45.85,-0.55,-0.55,45.85
00100027,beam,M27,L40x4,A36,-0.55,-0.55,43.7,0.55,-0.55,44.775
00100028,beam,M28,L40x4,A36,0.55,-0.55,43.7,0.55,0.55,44.775
00100029,beam,M29,L40x4,A36,0.55,0.55,43.7,-0.55,0.55,44.775
00100030,beam,M30,L40x4,A36,-0.55,0.55,43.7,-0.55,-0.55,44.775
00100031,beam,M31,L40x4,A36,0.55,-0.55,44.775,-0.55,-0.55,45.85
00100032,beam,M32,L40x4,A36,0.55,0.55,44.775,0.55,-0.55,45.85
00100033,beam,M33,L40x4,A36,-0.55,0.55,44.775,0.55,0.55,45.85
00100034,beam,M34,L40x4,A36,-0.55,-0.55,44.775,-0.55,0.55,45.85
00100035,beam,M35,L80X6,A36,-0.55,-0.55,41.55,-0.55,-0.55,43.7
00100036,beam,M36,L80X6,A36,0.55,-0.55,41.55,0.55,-0.55,43.7
00100037,beam,M37,L80X6,A36,0.55,0.55,41.55,0.55,0.55,43.7
00100038,beam,M38,L80X6,A36,-0.55,0.55,41.55,-0.55,0.55,43.7
00100039,beam,M39,L40x4,A36,-0.55,-0.55,43.7,0.55,-0.55,43.7
00100040,beam,M40,L40x4,A36,0.55,-0.55,43.7,0.55,0.55,43.7
00100041,beam,M41,L40x4,A36,0.55,0.55,43.7,-0.55,0.55,43.7
00100042,beam,M42,L40x4,A36,-0.55,0.55,43.7,-0.55,-0.55,43.7
00100043,beam,M43,L40x4,A36,-0.55,-0.55,41.55,0.55,-0.55,42.625
00100044,beam,M44,L40x4,A36,0.55,-0.55,41.55,0.55,0.55,42.625
00100045,beam,M45,L40x4,A36,0.55,0.55,41.55,-0.55,0.55,42.625
00100046,beam,M46,L40x4,A36,-0.55,0.55,41.55,-0.55,-0.55,42.625
00100047,beam,M47,L40x4,A36,0.55,-0.55,42.625,-0.55,-0.55,43.7
00100048,beam,M48,L40x4,A36,0.55,0.55,42.625,0.55,-0.55,43.7
00100049,beam,M49,L40x4,A36,-0.55,0.55,42.625,0.55,0.55,43.7
00100050,beam,M50,L40x4,A36,-0.55,-0.55,42.625,-0.55,0.55,43.7
00100051,beam,M51,L80X7,A36,-0.55,-0.55,39.5,-0.55,-0.55,41.55
00100052,beam,M52,L80X7,A36,0.55,-0.55,39.5,0.55,-0.55,41.55
00100053,beam,M53,L80X7,A36,0.55,0.55,39.5,0.55,0.55,41.55
00100054,beam,M54,L80X7,A36,-0.55,0.55,39.5,-0.55,0.55,41.55
00100055,beam,M55,L40x4,A36,-0.55,-0.55,41.55,0.55,-0.55,41.55
00100056,beam,M56,L40x4,A36,0.55,-0.55,41.55,0.55,0.55,41.55
00100057,beam,M57,L40x4,A36,0.55,0.55,41.55,-0.55,0.55,41.55
00100058,beam,M58,L40x4,A36,-0.55,0.55,41.55,-0.55,-0.55,41.55
00100059,beam,M59,L40x5,A36,-0.55,-0.55,39.5,0.55,-0.55,40.525
00100060,beam,M60,L40x5,A36,0.55,-0.55,39.5,0.55,0.55,40.525
00100061,beam,M61,L40x5,A36,0.55,0.55,39.5,-0.55,0.55,40.525
00100062,beam,M62,L40x5,A36,-0.55,0.55,39.5,-0.55,-0.55,40.525
00100063,beam,M63,L40x5,A36,0.55,-0.55,40.525,-0.55,-0.55,41.55
00100064,beam,M64,L40x5,A36,0.55,0.55,40.525,0.55,-0.55,41.55
00100065,beam,M65,L40x5,A36,-0.55,0.55,40.525,0.55,0.55,41.55
00100066,beam,M66,L40x5,A36,-0.55,-0.55,40.525,-0.55,0.55,41.55
00100067,beam,M67,L80X7,A36,-0.55,-0.55,37.5,-0.55,-0.55,39.5
00100068,beam,M68,L80X7,A36,0.55,-0.55,37.5,0.55,-0.55,39.5
00100069,beam,M69,L80X7,A36,0.55,0.55,37.5,0.55,0.55,39.5
00100070,beam,M70,L80X7,A36,-0.55,0.55,37.5,-0.55,0.55,39.5
00100071,beam,M71,L40x4,A36,-0.55,-0.55,39.5,0.55,-0.55,39.5
00100072,beam,M72,L40x4,A36,0.55,-0.55,39.5,0.55,0.55,39.5
00100073,beam,M73,L40x4,A36,0.55,0.55,39.5,-0.55,0.55,39.5
00100074,beam,M74,L40x4,A36,-0.55,0.55,39.5,-0.55,-0.55,39.5
00100075,beam,M75,L40x5,A36,-0.55,-0.55,37.5,0.55,-0.55,38.5
00100076,beam,M76,L40x5,A36,0.55,-0.55,37.5,0.55,0.55,38.5
00100077,beam,M77,L40x5,A36,0.55,0.55,37.5,-0.55,0.55,38.5
00100078,beam,M78,L40x5,A36,-0.55,0.55,37.5,-0.55,-0.55,38.5
00100079,beam,M79,L40x5,A36,0.55,-0.55,38.5,-0.55,-0.55,39.5
00100080,beam,M80,L40x5,A36,0.55,0.55,38.5,0.55,-0.55,39.5
00100081,beam,M81,L40x5,A36,-0.55,0.55,38.5,0.55,0.55,39.5
00100082,beam,M82,L40x5,A36,-0.55,-0.55,38.5,-0.55,0.55,39.5
00100083,beam,M83,L80X7,A36,-0.55,-0.55,36.0,-0.55,-0.55,37.5
00100084,beam,M84,L80X7,A36,0.55,-0.55,36.0,0.55,-0.55,37.5
00100085,beam,M85,L80X7,A36,0.55,0.55,36.0,0.55,0.55,37.5
00100086,beam,M86,L80X7,A36,-0.55,0.55,36.0,-0.55,0.55,37.5
00100087,beam,M87,L40x4,A36,-0.55,-0.55,37.5,0.55,-0.55,37.5
00100088,beam,M88,L40x4,A36,0.55,-0.55,37.5,0.55,0.55,37.5
00100089,beam,M89,L40x4,A36,0.55,0.55,37.5,-0.55,0.55,37.5
00100090,beam,M90,L40x4,A36,-0.55,0.55,37.5,-0.55,-0.55,37.5
00100091,beam,M91,L40x4,A36,-0.55,-0.55,36.0,0.55,-0.55,36.75
00100092,beam,M92,L40x4,A36,0.55,-0.55,36.0,0.55,0.55,36.75
00100093,beam,M93,L40x4,A36,0.55,0.55,36.0,-0.55,0.55,36.75
00100094,beam,M94,L40x4,A36,-0.55,0.55,36.0,-0.55,-0.55,36.75
00100095,beam,M95,L40x4,A36,0.55,-0.55,36.75,-0.55,-0.55,37.5
00100096,beam,M96,L40x4,A36,0.55,0.55,36.75,0.55,-0.55,37.5
00100097,beam,M97,L40x4,A36,-0.55,0.55,36.75,0.55,0.55,37.5
00100098,beam,M98,L40x4,A36,-0.55,-0.55,36.75,-0.55,0.55,37.5
00100099,beam,M99,L90x9,A36,-0.590625,-0.590625,33.75,-0.55,-0.55,36.0
00100100,beam,M100,L90x9,A36,0.590625,-0.590625,33.75,0.55,-0.55,36.0
00100101,beam,M101,L90x9,A36,0.590625,0.590625,33.75,0.55,0.55,36.0
00100102,beam,M102,L90x9,A36,-0.590625,0.590625,33.75,-0.55,0.55,36.0
00100103,beam,M103,L40x4,A36,-0.55,-0.55,36.0,0.55,0.55,36.0
00100104,beam,M104,L40x4,A36,0.55,-0.55,36.0,-0.55,0.55,36.0
00100105,beam,M105,L40x4,A36,-0.55,-0.55,36.0,0.55,-0.55,36.0
00100106,beam,M106,L40x4,A36,0.55,-0.55,36.0,0.55,0.55,36.0
00100107,beam,M107,L40x4,A36,0.55,0.55,36.0,-0.55,0.55,36.0
00100108,beam,M108,L40x4,A36,-0.55,0.55,36.0,-0.55,-0.55,36.0
00100109,beam,M109,L40x5,A36,-0.590625,-0.590625,33.75,0.570312,-0.570312,34.875
00100110,beam,M110,L40x5,A36,0.590625,-0.590625,33.75,0.570312,0.570312,34.875
00100111,beam,M111,L40x5,A36,0.590625,0.590625,33.75,-0.570312,0.570312,34.875
00100112,beam,M112,L40x5,A36,-0.590625,0.590625,33.75,-0.570312,-0.570312,34.875
00100113,beam,M113,L40x5,A36,0.570312,-0.570312,34.875,-0.55,-0.55,36.0
00100114,beam,M114,L40x5,A36,0.570312,0.570312,34.875,0.55,-0.55,36.0
00100115,beam,M115,L40x5,A36,-0.570312,0.570312,34.875,0.55,0.55,36.0
