ID,Type,PieceMark,Section,Material,StartX,StartY,StartZ,EndX,EndY,EndZ
00100300,beam,M300,L60x4,A36,0.967535,0.967535,12.875,0.951736,-0.951736,13.75
00100301,beam,M301,L60x4,A36,-0.967535,0.967535,12.875,0.951736,0.951736,13.75
00100302,beam,M302,L60x4,A36,-0.967535,-0.967535,12.875,-0.951736,0.951736,13.75
00100303,beam,M303,L130x12,A36,-1.02215,-1.02215,9.85,-0.983333,-0.983333,12.0
00100304,beam,M304,L130x12,A36,1.02215,-1.02215,9.85,0.983333,-0.983333,12.0
00100305,beam,M305,L130x12,A36,1.02215,1.02215,9.85,0.983333,0.983333,12.0
00100306,beam,M306,L130x12,A36,-1.02215,1.02215,9.85,-0.983333,0.983333,12.0
00100307,beam,M307,L45x4,A36,-0.983333,-0.983333,12.0,0.983333,-0.983333,12.0
00100308,beam,M308,L45x4,A36,0.983333,-0.983333,12.0,0.983333,0.983333,12.0
00100309,beam,M309,L45x4,A36,0.983333,0.983333,12.0,-0.983333,0.983333,12.0
00100310,beam,M310,L45x4,A36,-0.983333,0.983333,12.0,-0.983333,-0.983333,12.0
00100311,beam,M311,L40x4,A36,-1.00274,-1.00274,10.925,1.00274,-1.00274,10.925
00100312,beam,M312,L40x4,A36,-1.02215,-1.02215,9.85,0.0,-1.00274,10.925
00100313,beam,M313,L40x4,A36,1.02215,-1.02215,9.85,0.0,-1.00274,10.925
00100314,beam,M314,L40x4,A36,1.00274,-1.00274,10.925,1.00274,1.00274,10.925
00100315,beam,M315,L40x4,A36,1.02215,-1.02215,9.85,1.00274,0.0,10.925
00100316,beam,M316,L40x4,A36,1.02215,1.02215,9.85,1.00274,0.0,10.925
00100317,beam,M317,L40x4,A36,1.00274,1.00274,10.925,-1.00274,1.00274,10.925
00100318,beam,M318,L40x4,A36,1.02215,1.02215,9.85,0.0,1.00274,10.925
00100319,beam,M319,L40x4,A36,-1.02215,1.02215,9.85,0.0,1.00274,10.925
00100320,beam,M320,L40x4,A36,-1.00274,1.00274,10.925,-1.00274,-1.00274,10.925
00100321,beam,M321,L40x4,A36,-1.02215,1.02215,9.85,-1.00274,0.0,10.925
00100322,beam,M322,L40x4,A36,-1.02215,-1.02215,9.85,-1.00274,0.0,10.925
00100323,beam,M323,L40x4,A36,0.0,-1.00274,10.925,-0.983333,-0.983333,12.0
00100324,beam,M324,L40x4,A36,0.0,-1.00274,10.925,0.983333,-0.983333,12.0
00100325,beam,M325,L40x4,A36,1.00274,0.0,10.925,0.983333,-0.983333,12.0
00100326,beam,M326,L40x4,A36,1.00274,0.0,10.925,0.983333,0.983333,12.0
00100327,beam,M327,L40x4,A36,0.0,1.00274,10.925,0.983333,0.983333,12.0
00100328,beam,M328,L40x4,A36,0.0,1.00274,10.925,-0.983333,0.983333,12.0
00100329,beam,M329,L40x4,A36,-1.00274,0.0,10.925,-0.983333,0.983333,12.0
00100330,beam,M330,L40x4,A36,-1.00274,0.0,10.925,-0.983333,-0.983333,12.0
00100331,beam,M331,L130x12,A36,-1.05826,-1.05826,7.85,-1.02215,-1.02215,9.85
00100332,beam,M332,L130x12,A36,1.05826,-1.05826,7.85,1.02215,-1.02215,9.85
00100333,beam,M333,L130x12,A36,1.05826,1.05826,7.85,1.02215,1.02215,9.85
00100334,beam,M334,L130x12,A36,-1.05826,1.05826,7.85,-1.02215,1.02215,9.85
00100335,beam,M335,L40x4,A36,-1.04021,-1.04021,8.85,1.04021,-1.04021,8.85
00100336,beam,M336,L40x4,A36,-1.05826,-1.05826,7.85,0.0,-1.04021,8.85
00100337,beam,M337,L40x4,A36,1.05826,-1.05826,7.85,0.0,-1.04021,8.85
00100338,beam,M338,L40x4,A36,1.04021,-1.04021,8.85,1.04021,1.04021,8.85
00100339,beam,M339,L40x4,A36,1.05826,-1.05826,7.85,1.04021,0.0,8.85
00100340,beam,M340,L40x4,A36,1.05826,1.05826,7.85,1.04021,0.0,8.85
00100341,beam,M341,L40x4,A36,1.04021,1.04021,8.85,-1.04021,1.04021,8.85
00100342,beam,M342,L40x4,A36,1.05826,1.05826,7.85,0.0,1.04021,8.85
00100343,beam,M343,L40x4,A36,-1.05826,1.05826,7.85,0.0,1.04021,8.85
00100344,beam,M344,L40x4,A36,-1.04021,1.04021,8.85,-1.04021,-1.04021,8.85
00100345,beam,M345,L40x4,A36,-1.05826,1.05826,7.85,-1.04021,0.0,8.85
00100346,beam,M346,L40x4,A36,-1.05826,-1.05826,7.85,-1.04021,0.0,8.85
00100347,beam,M347,L40x4,A36,0.0,-1.04021,8.85,-1.02215,-1.02215,9.85
00100348,beam,M348,L40x4,A36,0.0,-1.04021,8.85,1.02215,-1.02215,9.85
00100349,beam,M349,L40x4,A36,1.04021,0.0,8.85,1.02215,-1.02215,9.85
00100350,beam,M350,L40x4,A36,1.04021,0.0,8.85,1.02215,1.02215,9.85
00100351,beam,M351,L40x4,A36,0.0,1.04021,8.85,1.02215,1.02215,9.85
00100352,beam,M352,L40x4,A36,0.0,1.04021,8.85,-1.02215,1.02215,9.85
00100353,beam,M353,L40x4,A36,-1.04021,0.0,8.85,-1.02215,1.02215,9.85
00100354,beam,M354,L40x4,A36,-1.04021,0.0,8.85,-1.02215,-1.02215,9.85
00100355,beam,M355,L130x12,A36,-1.09167,-1.09167,6.0,-1.05826,-1.05826,7.85
00100356,beam,M356,L130x12,A36,1.09167,-1.09167,6.0,1.05826,-1.05826,7.85
00100357,beam,M357,L130x12,A36,1.09167,1.09167,6.0,1.05826,1.05826,7.85
00100358,beam,M358,L130x12,A36,-1.09167,1.09167,6.0,-1.05826,1.05826,7.85
00100359,beam,M359,L40x4,A36,-1.07497,-1.07497,6.925,1.07497,-1.07497,6.925
00100360,beam,M360,L40x4,A36,-1.09167,-1.09167,6.0,0.0,-1.07497,6.925
00100361,beam,M361,L40x4,A36,1.09167,-1.09167,6.0,0.0,-1.07497,6.925
00100362,beam,M362,L40x4,A36,1.07497,-1.07497,6.925,1.07497,1.07497,6.925
00100363,beam,M363,L40x4,A36,1.09167,-1.09167,6.0,1.07497,0.0,6.925
00100364,beam,M364,L40x4,A36,1.09167,1.09167,6.0,1.07497,0.0,6.925
00100365,beam,M365,L40x4,A36,1.07497,1.07497,6.925,-1.07497,1.07497,6.925
00100366,beam,M366,L40x4,A36,1.09167,1.09167,6.0,0.0,1.07497,6.925
00100367,beam,M367,L40x4,A36,-1.09167,1.09167,6.0,0.0,1.07497,6.925
00100368,beam,M368,L40x4,A36,-1.07497,1.07497,6.925,-1.07497,-1.07497,6.925
00100369,beam,M369,L40x4,A36,-1.09167,1.09167,6.0,-1.07497,0.0,6.925
00100370,beam,M370,L40x4,A36,-1.09167,-1.09167,6.0,-1.07497,0.0,6.925
00100371,beam,M371,L40x4,A36,0.0,-1.07497,6.925,-1.05826,-1.05826,7.85
00100372,beam,M372,L40x4,A36,0.0,-1.07497,6.925,1.05826,-1.05826,7.85
00100373,beam,M373,L40x4,A36,1.07497,0.0,6.925,1.05826,-1.05826,7.85
00100374,beam,M374,L40x4,A36,1.07497,0.0,6.925,1.05826,1.05826,7.85
00100375,beam,M375,L40x4,A36,0.0,1.07497,6.925,1.05826,1.05826,7.85
00100376,beam,M376,L40x4,A36,0.0,1.07497,6.925,-1.05826,1.05826,7.85
00100377,beam,M377,L40x4,A36,-1.07497,0.0,6.925,-1.05826,1.05826,7.85
00100378,beam,M378,L40x4,A36,-1.07497,0.0,6.925,-1.05826,-1.05826,7.85
00100379,beam,M379,L140x12,A36,-1.13139,-1.13139,3.8,-1.09167,-1.09167,6.0
00100380,beam,M380,L140x12,A36,1.13139,-1.13139,3.8,1.09167,-1.09167,6.0
00100381,beam,M381,L140x12,A36,1.13139,1.13139,3.8,1.09167,1.09167,6.0
00100382,beam,M382,L140x12,A36,-1.13139,1.13139,3.8,-1.09167,1.09167,6.0
00100383,beam,M383,L40x4,A36,-1.11153,-1.11153,4.9,1.11153,-1.11153,4.9
00100384,beam,M384,L40x4,A36,-1.13139,-1.13139,3.8,0.0,-1.11153,4.9
00100385,beam,M385,L40x4,A36,1.13139,-1.13139,3.8,0.0,-1.11153,4.9
00100386,beam,M386,L40x4,A36,1.11153,-1.11153,4.9,1.11153,1.11153,4.9
00100387,beam,M387,L40x4,A36,1.13139,-1.13139,3.8,1.11153,0.0,4.9
00100388,beam,M388,L40x4,A36,1.13139,1.13139,3.8,1.11153,0.0,4.9
00100389,beam,M389,L40x4,A36,1.11153,1.11153,4.9,-1.11153,1.11153,4.9
00100390,beam,M390,L40x4,A36,1.13139,1.13139,3.8,0.0,1.11153,4.9
00100391,beam,M391,L40x4,A36,-1.13139,1.13139,3.8,0.0,1.11153,4.9
00100392,beam,M392,L40x4,A36,-1.11153,1.11153,4.9,-1.11153,-1.11153,4.9
00100393,beam,M393,L40x4,A36,-1.13139,1.13139,3.8,-1.11153,0.0,4.9
00100394,beam,M394,L40x4,A36,-1.13139,-1.13139,3.8,-1.11153,0.0,4.9
00100395,beam,M395,L40x4,A36,0.0,-1.11153,4.9,-1.09167,-1.09167,6.0
00100396,beam,M396,L40x4,A36,0.0,-1.11153,4.9,1.09167,-1.09167,6.0
00100397,beam,M397,L40x4,A36,1.11153,0.0,4.9,1.09167,-1.09167,6.0
00100398,beam,M398,L40x4,A36,1.11153,0.0,4.9,1.09167,1.09167,6.0
00100399,beam,M399,L40x4,A36,0.0,1.11153,4.9,1.09167,1.09167,6.0
00100400,beam,M400,L40x4,A36,0.0,1.11153,4.9,-1.09167,1.09167,6.0
00100401,beam,M401,L40x4,A36,-1.11153,0.0,4.9,-1.09167,1.09167,6.0
00100402,beam,M402,L40x4,A36,-1.11153,0.0,4.9,-1.09167,-1.09167,6.0
00100403,beam,M403,L140x12,A36,-1.16569,-1.16569,1.9,-1.13139,-1.13139,3.8
00100404,beam,M404,L140x12,A36,1.16569,-1.16569,1.9,1.13139,-1.13139,3.8
00100405,beam,M405,L140x12,A36,1.16569,1.16569,1.9,1.13139,1.13139,3.8
00100406,beam,M406,L140x12,A36,-1.16569,1.16569,1.9,-1.13139,1.13139,3.8
00100407,beam,M407,L40x4,A36,-1.14854,-1.14854,2.85,1.14854,-1.14854,2.85
00100408,beam,M408,L45x4,A36,-1.16569,-1.16569,1.9,0.0,-1.14854,2.85
00100409,beam,M409,L45x4,A36,1.16569,-1.16569,1.9,0.0,-1.14854,2.85
00100410,beam,M410,L40x4,A36,1.14854,-1.14854,2.85,1.14854,1.14854,2.85
00100411,beam,M411,L45x4,A36,1.16569,-1.16569,1.9,1.14854,0.0,2.85
00100412,beam,M412,L45x4,A36,1.16569,1.16569,1.9,1.14854,0.0,2.85
00100413,beam,M413,L40x4,A36,1.14854,1.14854,2.85,-1.14854,1.14854,2.85
00100414,beam,M414,L45x4,A36,1.16569,1.16569,1.9,0.0,1.14854,2.85
00100415,beam,M415,L45x4,A36,-1.16569,1.16569,1.9,0.0,1.14854,2.85
00100416,beam,M416,L40x4,A36,-1.14854,1.14854,2.85,-1.14854,-1.14854,2.85
00100417,beam,M417,L45x4,A36,-1.16569,1.16569,1.9,-1.14854,0.0,2.85
00100418,beam,M418,L45x4,A36,-1.16569,-1.16569,1.9,-1.14854,0.0,2.85
00100419,beam,M419,L40x4,A36,0.0,-1.14854,2.85,1.14854,0.0,2.85
00100420,beam,M420,L40x4,A36,1.14854,0.0,2.85,0.0,1.14854,2.85
00100421,beam,M421,L40x4,A36,0.0,1.14854,2.85,-1.14854,0.0,2.85
00100422,beam,M422,L40x4,A36,-1.14854,0.0,2.85,0.0,-1.14854,2.85
00100423,beam,M423,L40x4,A36,0.0,-1.14854,2.85,0.0,1.14854,2.85
00100424,beam,M424,L45x4,A36,0.0,-1.14854,2.85,-1.13139,-1.13139,3.8
00100425,beam,M425,L45x4,A36,0.0,-1.14854,2.85,1.13139,-1.13139,3.8
00100426,beam,M426,L45x4,A36,1.14854,0.0,2.85,1.13139,-1.13139,3.8
00100427,beam,M427,L45x4,A36,1.14854,0.0,2.85,1.13139,1.13139,3.8
00100428,beam,M428,L45x4,A36,0.0,1.14854,2.85,1.13139,1.13139,3.8
00100429,beam,M429,L45x4,A36,0.0,1.14854,2.85,-1.13139,1.13139,3.8
00100430,beam,M430,L45x4,A36,-1.14854,0.0,2.85,-1.13139,1.13139,3.8
00100431,beam,M431,L45x4,A36,-1.14854,0.0,2.85,-1.13139,-1.13139,3.8
00100432,beam,M432,L140x12,A36,-1.2,-1.2,0.0,-1.16569,-1.16569,1.9
00100433,beam,M433,L140x12,A36,1.2,-1.2,0.0,1.16569,-1.16569,1.9
00100434,beam,M434,L140x12,A36,1.2,1.2,0.0,1.16569,1.16569,1.9
00100435,beam,M435,L140x12,A36,-1.2,1.2,0.0,-1.16569,1.16569,1.9
00100436,beam,M436,L40x4,A36,-1.18285,-1.18285,0.95,1.18285,-1.18285,0.95
00100437,beam,M437,L45x4,A36,-1.2,-1.2,0.0,0.0,-1.18285,0.95
00100438,beam,M438,L45x4,A36,1.2,-1.2,0.0,0.0,-1.18285,0.95
00100439,beam,M439,L40x4,A36,1.18285,-1.18285,0.95,1.18285,1.18285,0.95
00100440,beam,M440,L45x4,A36,1.2,-1.2,0.0,1.18285,0.0,0.95
00100441,beam,M441,L45x4,A36,1.2,1.2,0.0,1.18285,0.0,0.95
00100442,beam,M442,L40x4,A36,1.18285,1.18285,0.95,-1.18285,1.18285,0.95
00100443,beam,M443,L45x4,A36,1.2,1.2,0.0,0.0,1.18285,0.95
00100444,beam,M444,L45x4,A36,-1.2,1.2,0.0,0.0,1.18285,0.95
00100445,beam,M445,L40x4,A36,-1.18285,1.18285,0.95,-1.18285,-1.18285,0.95
00100446,beam,M446,L45x4,A36,-1.2,1.2,0.0,-1.18285,0.0,0.95
00100447,beam,M447,L45x4,A36,-1.2,-1.2,0.0,-1.18285,0.0,0.95
00100448,beam,M448,L45x4,A36,0.0,-1.18285,0.95,-1.16569,-1.16569,1.9
00100449,beam,M449,L45x4,A36,0.0,-1.18285,0.95,1.16569,-1.16569,1.9
00100450,beam,M450,L45x4,A36,1.18285,0.0,0.95,1.16569,-1.16569,1.9
00100451,beam,M451,L45x4,A36,1.18285,0.0,0.95,1.16569,1.16569,1.9
00100452,beam,M452,L45x4,A36,0.0,1.18285,0.95,1.16569,1.16569,1.9
00100453,beam,M453,L45x4,A36,0.0,1.18285,0.95,-1.16569,1.16569,1.9
00100454,beam,M454,L45x4,A36,-1.18285,0.0,0.95,-1.16569,1.16569,1.9
00100455,beam,M455,L45x4,A36,-1.18285,0.0,0.95,-1.16569,-1.16569,1.9
