,ID,Type,PieceMark,Section,Material,StartX,StartY,StartZ,EndX,EndY,EndZ,MemberClass
156,100225,beam,M225,L40x4,A36,0.806389,0.806389,21.8,-0.806389,0.806389,21.8,horizontal
157,100226,beam,M226,L40x4,A36,-0.806389,0.806389,21.8,-0.806389,-0.806389,21.8,horizontal
158,100239,beam,M239,L45x4,A36,-0.840694,-0.840694,19.9,0.840694,-0.840694,19.9,horizontal
159,100240,beam,M240,L45x4,A36,0.840694,-0.840694,19.9,0.840694,0.840694,19.9,horizontal
160,100241,beam,M241,L45x4,A36,0.840694,0.840694,19.9,-0.840694,0.840694,19.9,horizontal
161,100242,beam,M242,L45x4,A36,-0.840694,0.840694,19.9,-0.840694,-0.840694,19.9,horizontal
162,100259,beam,M259,L45x4,A36,-0.875,-0.875,18.0,0.875,-0.875,18.0,horizontal
163,100260,beam,M260,L45x4,A36,0.875,-0.875,18.0,0.875,0.875,18.0,horizontal
164,100261,beam,M261,L45x4,A36,0.875,0.875,18.0,-0.875,0.875,18.0,horizontal
165,100262,beam,M262,L45x4,A36,-0.875,0.875,18.0,-0.875,-0.875,18.0,horizontal
166,100275,beam,M275,L45x4,A36,-0.914722,-0.914722,15.8,0.914722,-0.914722,15.8,horizontal
167,100276,beam,M276,L45x4,A36,0.914722,-0.914722,15.8,0.914722,0.914722,15.8,horizontal
168,100277,beam,M277,L45x4,A36,0.914722,0.914722,15.8,-0.914722,0.914722,15.8,horizontal
169,100278,beam,M278,L45x4,A36,-0.914722,0.914722,15.8,-0.914722,-0.914722,15.8,horizontal
170,100291,beam,M291,L45x4,A36,-0.951736,-0.951736,13.75,0.951736,-0.951736,13.75,horizontal
171,100292,beam,M292,L45x4,A36,0.951736,-0.951736,13.75,0.951736,0.951736,13.75,horizontal
172,100293,beam,M293,L45x4,A36,0.951736,0.951736,13.75,-0.951736,0.951736,13.75,horizontal
173,100294,beam,M294,L45x4,A36,-0.951736,0.951736,13.75,-0.951736,-0.951736,13.75,horizontal
174,100307,beam,M307,L45x4,A36,-0.983333,-0.983333,12.0,0.983333,-0.983333,12.0,horizontal
175,100308,beam,M308,L45x4,A36,0.983333,-0.983333,12.0,0.983333,0.983333,12.0,horizontal
176,100309,beam,M309,L45x4,A36,0.983333,0.983333,12.0,-0.983333,0.983333,12.0,horizontal
177,100310,beam,M310,L45x4,A36,-0.983333,0.983333,12.0,-0.983333,-0.983333,12.0,horizontal
178,100311,beam,M311,L40x4,A36,-1.00274,-1.00274,10.925,1.00274,-1.00274,10.925,horizontal
179,100314,beam,M314,L40x4,A36,1.00274,-1.00274,10.925,1.00274,1.00274,10.925,horizontal
180,100317,beam,M317,L40x4,A36,1.00274,1.00274,10.925,-1.00274,1.00274,10.925,horizontal
181,100320,beam,M320,L40x4,A36,-1.00274,1.00274,10.925,-1.00274,-1.00274,10.925,horizontal
182,100335,beam,M335,L40x4,A36,-1.04021,-1.04021,8.85,1.04021,-1.04021,8.85,horizontal
183,100338,beam,M338,L40x4,A36,1.04021,-1.04021,8.85,1.04021,1.04021,8.85,horizontal
184,100341,beam,M341,L40x4,A36,1.04021,1.04021,8.85,-1.04021,1.04021,8.85,horizontal
185,100344,beam,M344,L40x4,A36,-1.04021,1.04021,8.85,-1.04021,-1.04021,8.85,horizontal
186,100359,beam,M359,L40x4,A36,-1.07497,-1.07497,6.925,1.07497,-1.07497,6.925,horizontal
187,100362,beam,M362,L40x4,A36,1.07497,-1.07497,6.925,1.07497,1.07497,6.925,horizontal
188,100365,beam,M365,L40x4,A36,1.07497,1.07497,6.925,-1.07497,1.07497,6.925,horizontal
189,100368,beam,M368,L40x4,A36,-1.07497,1.07497,6.925,-1.07497,-1.07497,6.925,horizontal
190,100383,beam,M383,L40x4,A36,-1.11153,-1.11153,4.9,1.11153,-1.11153,4.9,horizontal
191,100386,beam,M386,L40x4,A36,1.11153,-1.11153,4.9,1.11153,1.11153,4.9,horizontal
192,100389,beam,M389,L40x4,A36,1.11153,1.11153,4.9,-1.11153,1.11153,4.9,horizontal
193,100392,beam,M392,L40x4,A36,-1.11153,1.11153,4.9,-1.11153,-1.11153,4.9,horizontal
194,100407,beam,M407,L40x4,A36,-1.14854,-1.14854,2.85,1.14854,-1.14854,2.85,horizontal
195,100410,beam,M410,L40x4,A36,1.14854,-1.14854,2.85,1.14854,1.14854,2.85,horizontal
196,100413,beam,M413,L40x4,A36,1.14854,1.14854,2.85,-1.14854,1.14854,2.85,horizontal
197,100416,beam,M416,L40x4,A36,-1.14854,1.14854,2.85,-1.14854,-1.14854,2.85,horizontal
198,100419,beam,M419,L40x4,A36,0.0,-1.14854,2.85,1.14854,0.0,2.85,horizontal
199,100420,beam,M420,L40x4,A36,1.14854,0.0,2.85,0.0,1.14854,2.85,horizontal
200,100421,beam,M421,L40x4,A36,0.0,1.14854,2.85,-1.14854,0.0,2.85,horizontal
201,100422,beam,M422,L40x4,A36,-1.14854,0.0,2.85,0.0,-1.14854,2.85,horizontal
202,100423,beam,M423,L40x4,A36,0.0,-1.14854,2.85,0.0,1.14854,2.85,horizontal
203,100436,beam,M436,L40x4,A36,-1.18285,-1.18285,0.95,1.18285,-1.18285,0.95,horizontal
204,100439,beam,M439,L40x4,A36,1.18285,-1.18285,0.95,1.18285,1.18285,0.95,horizontal
205,100442,beam,M442,L40x4,A36,1.18285,1.18285,0.95,-1.18285,1.18285,0.95,horizontal
