ID,Type,PieceMark,Section,Material,StartX,StartY,StartZ,EndX,EndY,EndZ,Holes,HoleCount
100271,beam,M271,L130x10,A36,-0.951736,-0.951736,13.75,-0.914722,-0.914722,15.8,[],0
100272,beam,M272,L130x10,A36,0.951736,-0.951736,13.75,0.914722,-0.914722,15.8,[],0
100273,beam,M273,L130x10,A36,0.951736,0.951736,13.75,0.914722,0.914722,15.8,[],0
100274,beam,M274,L130x10,A36,-0.951736,0.951736,13.75,-0.914722,0.914722,15.8,[],0
100287,beam,M287,L130x10,A36,-0.983333,-0.983333,12.0,-0.951736,-0.951736,13.75,[],0
100288,beam,M288,L130x10,A36,0.983333,-0.983333,12.0,0.951736,-0.951736,13.75,[],0
100289,beam,M289,L130x10,A36,0.983333,0.983333,12.0,0.951736,0.951736,13.75,[],0
100290,beam,M290,L130x10,A36,-0.983333,0.983333,12.0,-0.951736,0.951736,13.75,[],0
100303,beam,M303,L130x12,A36,-1.02215,-1.02215,9.85,-0.983333,-0.983333,12.0,[],0
100304,beam,M304,L130x12,A36,1.02215,-1.02215,9.85,0.983333,-0.983333,12.0,[],0
100305,beam,M305,L130x12,A36,1.02215,1.02215,9.85,0.983333,0.983333,12.0,[],0
100306,beam,M306,L130x12,A36,-1.02215,1.02215,9.85,-0.983333,0.983333,12.0,[],0
100331,beam,M331,L130x12,A36,-1.05826,-1.05826,7.85,-1.02215,-1.02215,9.85,[],0
100332,beam,M332,L130x12,A36,1.05826,-1.05826,7.85,1.02215,-1.02215,9.85,[],0
100333,beam,M333,L130x12,A36,1.05826,1.05826,7.85,1.02215,1.02215,9.85,[],0
100334,beam,M334,L130x12,A36,-1.05826,1.05826,7.85,-1.02215,1.02215,9.85,[],0
100355,beam,M355,L130x12,A36,-1.09167,-1.09167,6.0,-1.05826,-1.05826,7.85,[],0
100356,beam,M356,L130x12,A36,1.09167,-1.09167,6.0,1.05826,-1.05826,7.85,[],0
100357,beam,M357,L130x12,A36,1.09167,1.09167,6.0,1.05826,1.05826,7.85,[],0
100358,beam,M358,L130x12,A36,-1.09167,1.09167,6.0,-1.05826,1.05826,7.85,[],0
100379,beam,M379,L140x12,A36,-1.13139,-1.13139,3.8,-1.09167,-1.09167,6.0,[],0
100380,beam,M380,L140x12,A36,1.13139,-1.13139,3.8,1.09167,-1.09167,6.0,[],0
100381,beam,M381,L140x12,A36,1.13139,1.13139,3.8,1.09167,1.09167,6.0,[],0
100382,beam,M382,L140x12,A36,-1.13139,1.13139,3.8,-1.09167,1.09167,6.0,[],0
100403,beam,M403,L140x12,A36,-1.16569,-1.16569,1.9,-1.13139,-1.13139,3.8,[],0
100404,beam,M404,L140x12,A36,1.16569,-1.16569,1.9,1.13139,-1.13139,3.8,[],0
100405,beam,M405,L140x12,A36,1.16569,1.16569,1.9,1.13139,1.13139,3.8,[],0
100406,beam,M406,L140x12,A36,-1.16569,1.16569,1.9,-1.13139,1.13139,3.8,[],0
100432,beam,M432,L140x12,A36,-1.2,-1.2,0.0,-1.16569,-1.16569,1.9,[],0
100433,beam,M433,L140x12,A36,1.2,-1.2,0.0,1.16569,-1.16569,1.9,[],0
100434,beam,M434,L140x12,A36,1.2,1.2,0.0,1.16569,1.16569,1.9,[],0
100435,beam,M435,L140x12,A36,-1.2,1.2,0.0,-1.16569,1.16569,1.9,[],0
100005,beam,M5,L40x4,A36,-0.55,-0.55,48.0,0.55,0.55,48.0,"[{'MemberID': 100005, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 1, 'HoleCenterX': -0.5061593795664341, 'HoleCenterY': -0.5061593795664341, 'HoleCenterZ': 48.0, 'NormalX': -0.7071067811865476, 'NormalY': 0.7071067811865476, 'NormalZ': 0.0, 'ConnectedLegID': 100001, 'Radius': 0.006, 'Depth': 0.05}, {'MemberID': 100005, 'MemberType': 'horizontal', 'Section': 'L40x4', 'HoleNumber': 2, 'HoleCenterX': 0.5061593795664341, 'HoleCenterY': 0.5061593795664341, 'HoleCenterZ': 48.0, 'NormalX': -0.7071067811865476, 'NormalY': 0.7071067811865476, 'NormalZ': 0.0, 'ConnectedLegID': 100003, 'Radius': 0.006, 'Depth': 0.05}]",2
